youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,location,reference_code,type_of_violation
GNcywyD3848,Agency Qassioun | The devastation caused by the Russian aviation bombed the town of Hzrma countryside of Damascus,Qasioun News Agency,™š™€ø_™‹ø© ™‰ø_ø_™_™š™Ê| ø_™‹ø¿™ƒø_ø± ø_™‹øÁ™_ ø¬™‹™™ˆ ™‰øµ™ ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ ø_™‹™Š øÂ™‹ø¿ø© ø_ø_ø±™ƒø_ øÂø±™_™ ø¿™ƒøÇ™‰ 21-1-2016,1/21/16 19:02,33.5174575,36.4885738,DAMASCUS : Hazrama,RU_1426,Alleged civilian casualties from Russian attacks
BcMSFxUOAFI,Aleppo News: First moments of Russian aircraft attacking Karm al-Beek neighborhood with rockets 21/1/2016,øÇøÂ™€ø© ø_™‹øÂ ™Ê™_™šø_ - Halab News Network,#ø_™‹øÂ_™Ê™_™šø_|ø_™‹™‹ø_øŸø_øÈ ø_™‹ø£™š™‹™Š ™‹™‰øµ™ ø_™_ ™€ø±™ƒ ø_™‹øÂ™_™€ øÂøµø_ø±™šø¬ ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 21-1-2016,1/21/16 17:17,"36ŒÁ11'28""N","37ŒÁ10'20""E",ALEPPO : Karam al-Beek,RU_1427,Alleged civilian casualties from Russian attacks
7vuWR2GJ__U,Russian warplanes bombing Lahaya village in northern countryside of Hama 21/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,™‰øµ™ øÂø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ø_™‹™Š ™‰ø±™_ø© ™‹ø_ø_™_ø_ øÂø±™_™ ø_™ƒø_ø© ø_™‹øÇ™ƒø_™‹™_ øå2 21 1 2016,1/21/16 17:08,35.3348107,36ŒÁ40'56.06,HAMA : Lahaya,RU_1428,Alleged civilian casualties from Russian attacks
w6UQ5lLfWsY,Russian warplanes bombing Zakat village in the northern countryside of Hama province 21/2/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ™_™‰øµ™ ™‰ø±™_ø© ø_™‹ø_™€ø_ø© øÂø±™_™ ø_™ƒø_ø© ø_™‹øÇ™ƒø_™‹™_ 21 1 2016,1/21/16 17:07,"35ŒÁ20'24""N","36ŒÁ34'38""E",HAMA : Zakah,RU_1429,Alleged civilian casualties from Russian attacks
wu9uhZcstDU,Russian warplanes flying over al-Latamnah in the countryside of Hama 21/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ øÂø£øå™šø_øç ™ƒø¿™_™Êø© ø_™‹™‹ø‡ø_™ƒ™Êø© øÂø±™_™ ø_™ƒø_ø© 21 1 2016,1/21/16 17:06,35.326749,36.621766,HAMA : latamneh,RU_1430,Alleged civilian casualties from Russian attacks
5t2kS8iEK80,Aleppo News: Russian helicopter flying in the skies of Aleppo province 21/1/2016,øÇøÂ™€ø© ø_™‹øÂ ™Ê™_™šø_ - Halab News Network,#ø_™‹øÂ_™Ê™_™šø_#øÇø_™ˆø¿ ø‡ø_ø_ø±ø© ™ƒø±™šø_™_ø© ø±™šø_™_ø© ™™_ ø_™ƒø_øç ™ƒø¿™_™Êø© ø_™‹øÂ 21-1-2016,1/21/16 16:27,36.2065528,37.0785454,ALEPPO,RU_1431,Alleged civilian casualties from Russian attacks
BwthnqjUbTw,Hama countryside: Russian warplanes bombing al-Latamnah 21/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,ø±™_™ ø_™ƒø_ø©: ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ™_™‰øµ™ ™ƒø¿™_™Êø© ø_™‹™‹ø‡ø_™ƒ™Êø© 21-1-2016,1/21/16 13:17,35.326749,36.621766,HAMA : latamneh,RU_1432,Alleged civilian casualties from Russian attacks
WVYiqtnRz7U,Damascus suburbs äóñKafr Batna: destruction in suspected Russian warplanes shelling P3 4 Dec 2015,Syrian Network for Human Rights,ø¢ø‚ø_ø± ø_™‹ø¿™ƒø_ø± øåø±ø_øç ™‰øµ™ ø±™šø_™_ ™™_ ™€™ø± øÂø‡™Êø_,1/21/16 10:41,33.514295,36.373479,DAMASCUS : Kafar Batna,RU_1433,Alleged civilian casualties from Russian attacks
Z11jpElWDb4,Russian warplanes bombing Markaba village in the northern Hama province 20/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,™‰øµ™ øÂø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ø_™‹™Š ™‰ø±™_ø© ™ƒø_ø±™€øÂø© øÂø±™_™ ø_™ƒø_ø© ø_™‹øÇ™ƒø_™‹™_ 20 1 2016,1/20/16 16:57,35.31813,36.6683854,HAMA : Mar kbeh,RU_1434,Alleged civilian casualties from Russian attacks
1Fq1984jiEI,Russian warplanes bombing farmland in Morek city in Hama province   20/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,™‰øµ™ øÂø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ø_™‹™Š ø_™‹ø£ø±ø_ø_™_ ø_™‹ø_ø±ø_ø_™_ø© ™‹™ƒø¿™_™Êø© ™ƒ™šø±™€ øÂø±™_™ ø_™ƒø_ø© øå3 20 1 2016,1/20/16 16:56,35.375176,36.687255,HAMA : Morek,RU_1435,Alleged civilian casualties from Russian attacks
